SampleName	RunID	ProjectID	Publication_PMID	Publication_DOI	Category	AssayType	LibraryLayout	Disease	SourceTissue_type	SourceTissue_condition	SourceTissue_position	SourceTissue_celltype	Age	AgeGroup	Gender	OtherInfo	LibraryPrepKit	AvgSpotLen	Instrument	TotalReads	UniquelyMappedReads	UniquelyMappedReads%	MultipleLoci%
GSM4274188	SRR10901267	GSE143753	33473154	10.1038/s41422-021-00467-z	Bone	scRNA-seq	PAIRED	Healthy	Limb	Normal	Limb_bud	Limb_tissue	5weeks	Fetus	N.A.	Developmental_stage:CS13	ChromiumSingle-Cell3'Chemistryv2(10xGenomics)	302	IlluminaHiSeqXTen				
GSM4274189	SRR10901268	GSE143753	33473154	10.1038/s41422-021-00467-z	Bone	scRNA-seq	PAIRED	Healthy	Limb	Normal	Limb_bud	Limb_tissue	5weeks	Fetus	N.A.	Developmental_stage:CS15	ChromiumSingle-Cell3'Chemistryv2(10xGenomics)	302	IlluminaHiSeqXTen				
GSM4274190	SRR10901269	GSE143753	33473154	10.1038/s41422-021-00467-z	Bone	scRNA-seq	PAIRED	Healthy	Limb	Normal	Limb_bud	Limb_tissue	5weeks	Fetus	N.A.	Developmental_stage:CS15	ChromiumSingle-Cell3'Chemistryv2(10xGenomics)	302	IlluminaHiSeqXTen				
GSM4274191	SRR10901270	GSE143753	33473154	10.1038/s41422-021-00467-z	Bone	scRNA-seq	PAIRED	Healthy	Bone	Normal	Long_bone	Bone_tissue	8weeks	Fetus	N.A.	Developmental_stage:CS20	ChromiumSingle-Cell3'Chemistryv2(10xGenomics)	302	IlluminaHiSeqXTen				
GSM4274192	SRR10901271	GSE143753	33473154	10.1038/s41422-021-00467-z	Bone	scRNA-seq	PAIRED	Healthy	Bone	Normal	Long_bone	Bone_tissue	8weeks	Fetus	N.A.	Developmental_stage:CS22	ChromiumSingle-Cell3'Chemistryv2(10xGenomics)	300	IlluminaHiSeqXTen				
GSM4274192	SRR10901272	GSE143753	33473154	10.1038/s41422-021-00467-z	Bone	scRNA-seq	PAIRED	Healthy	Bone	Normal	Long_bone	Bone_tissue	8weeks	Fetus	N.A.	Developmental_stage:CS22	ChromiumSingle-Cell3'Chemistryv2(10xGenomics)	300	IlluminaHiSeqXTen				
GSM4274192	SRR10901273	GSE143753	33473154	10.1038/s41422-021-00467-z	Bone	scRNA-seq	PAIRED	Healthy	Bone	Normal	Long_bone	Bone_tissue	8weeks	Fetus	N.A.	Developmental_stage:CS22	ChromiumSingle-Cell3'Chemistryv2(10xGenomics)	300	IlluminaHiSeqXTen				
GSM4274192	SRR10901274	GSE143753	33473154	10.1038/s41422-021-00467-z	Bone	scRNA-seq	PAIRED	Healthy	Bone	Normal	Long_bone	Bone_tissue	8weeks	Fetus	N.A.	Developmental_stage:CS22	ChromiumSingle-Cell3'Chemistryv2(10xGenomics)	300	IlluminaHiSeqXTen				
GSM4274193	SRR10901275	GSE143753	33473154	10.1038/s41422-021-00467-z	Bone	scRNA-seq	PAIRED	Healthy	Bone	Normal	Long_bone	Bone_tissue	8weeks	Fetus	N.A.	Developmental_stage:CS22	ChromiumSingle-Cell3'Chemistryv2(10xGenomics)	302	IlluminaHiSeqXTen				
GSM4274194	SRR10901276	GSE143753	33473154	10.1038/s41422-021-00467-z	Bone	scRNA-seq	PAIRED	Healthy	Bone	Normal	Skull	Bone_tissue	8weeks	Fetus	N.A.	Developmental_stage:CS23	ChromiumSingle-Cell3'Chemistryv2(10xGenomics)	302	IlluminaHiSeqXTen				
GSM4609136	SRR11977450	GSE143753	33473154	10.1038/s41422-021-00467-z	Bone	scRNA-seq	PAIRED	Healthy	Bone	Normal	Skull	Bone_tissue	8weeks	Fetus	N.A.	Developmental_stage:CS23	ChromiumSingle-Cell3'Chemistryv2(10xGenomics)	186	IlluminaHiSeqXTen				
GSM4609136	SRR11977451	GSE143753	33473154	10.1038/s41422-021-00467-z	Bone	scRNA-seq	PAIRED	Healthy	Bone	Normal	Skull	Bone_tissue	8weeks	Fetus	N.A.	Developmental_stage:CS23	ChromiumSingle-Cell3'Chemistryv2(10xGenomics)	186	IlluminaHiSeqXTen				
GSM4609136	SRR11977452	GSE143753	33473154	10.1038/s41422-021-00467-z	Bone	scRNA-seq	PAIRED	Healthy	Bone	Normal	Skull	Bone_tissue	8weeks	Fetus	N.A.	Developmental_stage:CS23	ChromiumSingle-Cell3'Chemistryv2(10xGenomics)	186	IlluminaHiSeqXTen				
